object,disk_type,parallax,distance,distance_au,solar_mass,solar_lum,solar_temp,spec_type,log_ntot,log_ntot_pos,ntot_pos,log_ntot_neg,ntot_neg,temp,temp_pos,temp_neg,abs_temp_neg,log_omega,omega_pos,disk_radius_pos,omega_neg,disk_radius_neg,col_density,disk_radius,disk_area
CI Tau,Transitional,6.2376,160.3180711,33068006.93,0.92,0.93,4590,K4IVe C,22.919,0.804,2.91112E+21,-0.608,2.20145E+21,4122.296,2935.87,-1294.494,1294.494,-16.558,0.395,0.002341112592,-0.456,0.002702651499,8.29851E+22,0.09813706912,0.03025631548
LkHa 330,Transitional,3.1425,318.2179793,65637231.5,2.5,16,6280,F7 D,20.785,0.073,2.14078E+18,-0.082,2.40472E+18,899.705,26.184,-26.227,26.227,-15.434,0.066,0.003038370691,-0.061,0.002808191093,6.09537E+20,0.7105183824,1.585990237
TW Hya,Transitional,16.6289,60.13626879,12404007.48,0.7,0.25,4205,K6Ve C,20.683,0.15,3.49525E+18,-0.204,4.75353E+18,835.624,42.444,-43.071,43.071,-15.478,0.114,0.0009401065795,-0.085,0.0007009566601,4.81948E+20,0.1276400845,0.0511827998
DoAr 44,Transitional,6.8343,146.3207644,30180852.46,1.4,1.4,4730,K3e D,21.6,0.091,1.67721E+19,-0.09,1.65878E+19,1371.252,74.348,-70.312,70.312,-16.065,0.066,0.0006491121999,-0.07,0.0006884523332,3.98107E+21,0.1579998105,0.07842653086
HD 135344,Transitional,7.4105,134.943661,27834154.24,1.8,6.8,9520,A0V C,20.904,0.064,2.45443E+18,-0.071,2.72288E+18,752.073,29.338,-30.845,30.845,-14.867,0.085,0.003309014555,-0.077,0.002997577891,8.01678E+20,0.5787661105,1.052339953
UX Tau,Transitional,6.9227,144.4523091,29795455.53,1.1,1,4900,K2Ve+M1Ve C,21.346,0.159,1.65227E+19,-0.159,1.65227E+19,942.864,58.936,-58.297,58.297,-16.505,0.157,0.000894044667,-0.143,0.0008143209387,2.2182E+21,0.09398858108,0.02775236886
AB Aur,HAeBe,6.4127,155.9405555,32165078.67,2.4,38,9772,A0Ve,21.535,0.03,4.77503E+18,-0.03,4.77503E+18,823.779,15.155,-15.409,15.409,-14.547,0.027,0.00179432045,-0.025,0.001661407824,3.42768E+21,0.9667399849,2.936089135
HD144432,HAeBe,6.4581,154.8443041,31938960.38,1.8,12.7,7220,A9/F0V,22.101,0.153,8.73533E+19,-0.157,8.96371E+19,629.278,53.108,-44.546,44.546,-14.941,0.153,0.006245361825,-0.155,0.006327000542,1.26183E+22,0.6098820329,1.168534533
HD 36112,HAeBe,6.4157,155.8676372,32150038.19,2,24,8128,A8Ve,21.19,0.035,2.55822E+18,-0.036,2.63131E+18,900.155,16.5,-16.531,16.531,-15.015,0.024,0.0009011404031,-0.025,0.0009386879199,1.54882E+21,0.5637759647,0.9985342968
GK Tau,Classical,7.7433,129.1439051,26637867.58,0.79,0.8,4007,K7 ,21.838,0.148,4.66712E+19,-0.134,4.22563E+19,2305.279,181.446,-148.773,148.773,-16.355,0.102,0.0006228366248,-0.11,0.0006716865561,6.88652E+21,0.09986757841,0.03133277869
RNO 90,Classical,8.7288,114.5632848,23630395.93,1,3.5,5770,G5,21.707,0.077,1.80672E+19,-0.082,1.92404E+19,2006.176,80.061,-85.195,85.195,-15.447,0.042,0.0006851745226,-0.043,0.0007014882017,5.09331E+21,0.2519974012,0.1994995851
DoAr 24,Classical,7.3937,135.2502806,27897399.14,1.41,0.2,4060,K7.5V C,21.968,0.088,3.72128E+19,-0.082,3.46755E+19,1769.274,115.251,-108.575,108.575,-15.549,0.063,0.001071832362,-0.067,0.00113988521,9.28966E+21,0.2645384349,0.2198504871
DF Tau,Classical,5.66728,176.45149,36395766.58,0.53,2.97,3470,M3Ve,23.035,0.473,2.22573E+21,-0.341,1.6046E+21,1721.911,522.315,-336.037,336.037,-15.832,0.252,0.003965890274,-0.304,0.004784248585,1.08393E+23,0.2491586302,0.1950301443
DL Tau,Classical,6.2525,159.9360256,32989204.32,0.56,0.77,4060,K7Ve C,24.845,0.867,2.44219E+23,-0.623,1.75489E+23,6567.656,1712.063,-1850.177,1850.177,-17.538,0.264,0.0004768927999,-0.173,0.0003125092969,6.99842E+24,0.03168085577,0.003153143104