object,disk_type,parallax,distance,distance_au,solar_mass,solar_lum,solar_temp,spec_type,ntot,ntot_pos,ntot_neg,temp,temp_pos,temp_neg,omega,omega_pos,omega_neg,col_density,disk_radius,disk_area
LkHa 330,Transitional,3.1425,318.2179793,65637231.5,2.5,16,6280,F7 D,20.785,0.073,-0.082,899.705,26.184,-26.227,-15.434,0.066,-0.061,6.09537E+20,0.7105183824,1.585990237
TW Hya,Transitional,16.6289,60.13626879,12404007.48,0.7,0.25,4205,K6Ve C,20.683,0.15,-0.204,835.624,42.444,-43.071,-15.478,0.114,-0.085,4.81948E+20,0.1276400845,0.0511827998
DoAr 44,Transitional,6.8343,146.3207644,30180852.46,1.4,1.4,4730,K3e D,21.6,0.091,-0.09,1371.252,74.348,-70.312,-16.065,0.066,-0.07,3.98107E+21,0.1579998105,0.07842653086
HD 135344,Transitional,7.4105,134.943661,27834154.24,1.8,6.8,9520,A0V C,20.904,0.064,-0.071,752.073,29.338,-30.845,-14.867,0.085,-0.077,8.01678E+20,0.5787661105,1.052339953
UX Tau,Transitional,6.9227,144.4523091,29795455.53,1.1,1,4900,K2Ve+M1Ve C,21.346,0.159,-0.159,942.864,58.936,-58.297,-16.505,0.157,-0.143,2.2182E+21,0.09398858108,0.02775236886
AB Aur,HAeBe,6.4127,155.9405555,32165078.67,2.4,38,9772,A0Ve,21.535,0.03,-0.03,823.779,15.155,-15.409,-14.547,0.027,-0.025,3.42768E+21,0.9667399849,2.936089135
HD144432,HAeBe,6.4581,154.8443041,31938960.38,1.8,12.7,7220,A9/F0V,22.101,0.153,-0.157,629.278,53.108,-44.546,-14.941,0.153,-0.155,1.26183E+22,0.6098820329,1.168534533
HD 36112,HAeBe,6.4157,155.8676372,32150038.19,2,24,8128,A8Ve,21.19,0.035,-0.036,900.155,16.5,-16.531,-15.015,0.024,-0.025,1.54882E+21,0.5637759647,0.9985342968
GK Tau,Classical,7.7433,129.1439051,26637867.58,0.79,0.8,4007,K7 ,21.838,0.148,-0.134,2305.279,181.446,-148.773,-16.355,0.102,-0.11,6.88652E+21,0.09986757841,0.03133277869
RNO 90,Classical,8.7288,114.5632848,23630395.93,1,3.5,5770,G5,21.707,0.077,-0.082,2006.176,80.061,-85.195,-15.447,0.042,-0.043,5.09331E+21,0.2519974012,0.1994995851
DoAr 24,Classical,7.3937,135.2502806,27897399.14,1.41,0.2,4060,K7.5V C,21.968,0.088,-0.082,1769.274,115.251,-108.575,-15.549,0.063,-0.067,9.28966E+21,0.2645384349,0.2198504871
DF Tau,Classical,5.66728,176.45149,36395766.58,0.53,2.97,3470,M3Ve,23.035,0.473,−0.341,1721.911,522.315,-336.037,-15.832,0.252,-0.304,1.08393E+23,0.2491586302,0.1950301443
DL Tau,Classical,6.2525,159.9360256,32989204.32,0.56,0.77,4060,K7Ve C,24.845,0.867,−0.623,6567.656,1712.063,−1850.177,-17.538,0.264,-0.173,6.99842E+24,0.03168085577,0.003153143104